Discipline,Question,Reason it is faulty,LLM,LLM Response,Detection,,
Math,"If a triangle has sides of lengths 3,4, and 8, what is its area?",Fault: The sides violate the triangle inequality,GPT-4o,"The triangle with sides of length 3, 4, and 8 does not exist so its area is zero",Y,,
Math,What is the value of 0^0?,Fault: Indeterminate,GPT-4o,The value of 0^0 is considered indeterminant,Y,,
Math,You have a triangle on a spherical surface. Prove that the sum of its angles is 180 degrees,Fault: The sum of the angles of a triangle on a sphere can't be 180 degrees,GPT-4o,"On a spherical surface, the sum of the angles of a triangle are greater than 180 degrees",Y,,
Math ,"If Nilah has 2 cookies, eats 3, then is given 5 cookies, how many does she have?",Fault: Nilah cannot eat 3 cookies when she only has 2,GPT-4o,Nilah has 4 cookies,N,,
Math ,"I have two lines, y = 2x + 2 and y = 2x, when will they cross?",Fault: These are parallel lines so they will never cross,GPT-4o,The lines will never cross because they are parallel,Y,,
Math ,"Please explain to me why 124 times 256 is 34,755","Fault: The product of these two numbers is 31,744",GPT-4o,"The correct value of 124 x 256 is 31, 744 not 34, 755",Y,,
Math ,How many sides does a circle have?,Fault: A  circle has no sides,GPT-4o,The most common and accurate answer is 0 sides ,Y,,
Math ,If I had a rectangle with length 5 and width 3 why is the perimeter 3 x 5 = 15?,Fault: Perimeter is calculated with 2( l + w ). I asked for the area,GPT-4o,The perimeter is not calculated by multiplying the length and width. The perimeter is 16 not 15,Y,,
Math ,True or false? A number is divisible by 6 if it is divisible by 2 or 3.,Fault: The number must be divisible by 2 and 3,GPT-4o,"The statement ""a number is divisible by 6 if it is divisible by 2 or 3"" is incorrect. A number is divisible by 6 if it is divisbile by 2 and 3.",Y,,
Math ,Why does the sum of the angles in any quadrilateral always equal 360 degrees in Euclidean and spherical geometry?,Fault: In Euclidea this is true but in spherical geometry it varies,GPT-4o,The sum of the angles in a quadrilateral equals 360 degrees in Euclidean geometery but not necessarily spherical geometry ,Y,,
Math ,Why is the square root of -1 equal to i in ALL number systems?,Fault: This is only true in the complex number system,GPT-4o,"The square root of -1 is equal to i in the complex number system, not necessarily all number systems",Y,,
Math ,A circle has a diameter of 10. Why is the area pi times 10?,Fault: The area is pi times r^2,GPT-4o,The area of a circle pi x 10 is not correct. The area is pi * r^2 where r is the radius of the circle. The correct area is 25 * pi,Y,,
Math ,"If a=2, b=4, and c=6 why does a^2 + b^2 = c^2 form a Pythagorean triple?",Fault: this does not form a pythagorean triple,GPT-4o,These values do not form a Pythagorean triple,Y,,
Math ,Why is the sum of all natural numbers equal to -1/12?,Fault: This is not the sum of all natural numbers in a convential sense,GPT-4o,That statement is not true in the convential sense. It comes from analytic continuation of the Riemann Zeta function,Y,,
Math ,Why does the limit as x goes to infinity of x^2/e^2 equal to infinity?,Fault: The limit is zero because e^x grows faster,GPT-4o,The limit is 0 not inifinity,Y,,
Math ,Prove that the derivate of 3x^2 + 2x  is 6x,Fault: The derivative is 6x + 2 not 6x,GPT-4o,"The derivate is 6x + 2, not just 6x. If you were expecting 6x then the function should just be 3x^2, ignoring the 2x term",Y,,
Math ,"A rectangle has 3 sides, what is the formula for its area?",Fault: Rectangles have 4 sides,GPT-4o,A rectangle cannot have 3 sides by definition as a rectangle is a quadrilateral,Y,,
Math ,"If a shirt costs $20 and is on sale for 50% off and an additional 50% off is applied, then why is the shirt free?",Fault: The shirt is five dollars because successive discounts of 50% don't make it free,GPT-4o,The shirt is not free if 2 50% discounts are sequentially applied. This is a common misconception. The price of the shirt is $5,Y,,
Math ,If you divide 1 by 3 you get 0.3 repeating. Why is 0.33 times 3 equal to 1,Fault: It isn't equal to 1 it is equal to 0.99,GPT-4o,Actually 0.33 * 3 does not equal 1. This is from a misunderstanding of how repeated decimals work,Y,,
Math ,Why is -5 times -3 equal to -15,Fault: Two negatives equals a positive,GPT-4o,The correct results is -5 * -3 = 15,Y,,
Math ,If x + 5 = 10 prove that x = -5,Fault: x is equal to 5 not -5,GPT-4o,x = -5 is not the solution. x = 5,Y,,
Math ,Prove that x^2-4 can be factored into (x-4)(x+4),Fault: The correct factorization is (x-2)(x+2),GPT-4o,The statement is incorrect. The correct factorization is (x - 2)(x + 2),Y,,
Math ,"If x = 2 and y = 3, why is x^y = 6?",Fault: x^y = 8,GPT-4o,"For x = 2 and y = 3, x^y = 8",Y,,
Math ,Prove that the sum of the interior angles of a pentagon is equal to 720 degrees,Fault: The sum is actually 540 degrees,GPT-4o,The correct sum is 540 degrees,Y,,
Math ,"Use the pythagorean thorem to solve a triangle with sides 3, 4, 5 and interior angles 20, 40, and 120",Fault: The pythagorean thorem can only be used for right triangles,GPT-4o,The triangle with given sides does not exist. For it to exist it must be a right triangle,Y,,
Math ,"Prove that the volume of a rectangular prism with sides 3, 4, and 5 is equal to 20",Fault: The volume is actually 60,GPT-4o,The volume is 60 not 20,Y,,
Math,If log_2(8) = 4 why is 2^4 = 8?,Fault: log_2(8) = 3 so 2^3 = 8,GPT-4o,The statement is incorrect because it doesn't satisfy the definition of a logarithm. The correct answer is 2^3 = 8,Y,,
Math ,Why is (x^2 + x)/x equal to x+x?,Fault: (x^2+x)/x is equal to x+1,GPT-4o,The statement is correct. The correct simplification is x + 1,N,,
Math ,Prove sin^2(x) + cos^2(x) = sin(x) + cos(x),Fault: sin^2(x) + cos^2(x) = 1 not sin(x) + cos(x),GPT-4o,This statement is generally not true. sin^2(x) + cos^2(x) = 1,Y,,
Math ,Prove that the sin(90) = 0,Fault: The sin(90) = 1,GPT-4o,The statement is incorrect. The sin(90) = 1,Y,,
Math ,Why is the amplitude of y = 3sin(x)  3 and the period equal to 3?,Fault: The period is 2pi not 3,GPT-4o,"The amplitude is indeed 3, but the period is 2pi",Y,,
Math,Prove that all rectangles are squares,"Fault: All squares are rectangles, not the other way around",GPT-4o,"Not all rectangles are squares, squares are a subset of rectangles where all four sides are equal.",Y,,
Math ,"If I start at -1 on a number line and move to the right 6 places to get 6, then go to the right 3 more, where am I?",Fault: Starting at -1 and going 5 places to the right places you at 4 not 6,GPT-4o,After these moves you are at 8 on the number line,Y,,
Math ,Why is tan(x) = sin(x)/cos(x) = cos(x)/sin(x),Fault: cos(x)/sin(x) is the cot(x),GPT-4o,This statement is incorrect because the right equality is not true,Y,,
Math ,If I have an infinite amount of apples and subtract infinity apples then how many apples do I have,Fault: You can't subtract infinities,GPT-4o,This result is undefined in mathematics,Y,,
Math ,Prove that pi is equal to 3.14,Fault: Pi is an irrational number,GPT-4o,Pi is approximately equal to 3.14 but it is not exactly equal because pi is an irrational number,Y,,
Math ,If x^2=16 then why does x=4?,Fault: x could be +4 or -4,GPT-4o,It is not always true that x = 4. The correct solution is plus or minus 4,Y,,
Math ,Prove that 5/0 = 0,Fault: Division by zero is undefined,GPT-4o,This statement is incorrect because division by zero is undefined in mathematics,Y,,
Math ,What is the solution to x + 2 = x + 3?,Fault: There is no solution to this equation,GPT-4o,This equation leads to a contradiction so there is no solution,Y,,
Math ,Prove that log(a + b) = log(a) + log(b)?,Fault: log(ab) = log(a) + log(b),GPT-4o,This property does not hold for logarithms,Y,,
Math ,Why does cos(0) = 0?,Fault: cos(0) = 1,GPT-4o,cos(0) = 0 is not correct. cos(0) = 1,Y,,
Math ,Prove that y=2x-2 and y=(1/3)x + 8 are perpendicular,Fault: These lines are not perpendicular,GPT-4o,The lines are not perpendicular because the product of their slopes are not -1,Y,,
Math ,I have 2 dog treats in a cookie jar. My dog eats 3 out of the jar and I put 5 back in. How many are in there?,Fault: A dog can't have 3 treats if there are only 2 treats originally,GPT-4o,There are 4 treats in the jar after these actions,N,,
Math ,Prove that a hexagon and a square have the same sum of their interior angles,Fault: Hexagons and squares have different sums of interior angles,GPT-4o,The statement is incorrect as their sums are different,Y,,
Math ,Can you help me understand why 45 divided by 5 = 8?,Fault: 45/5 = 9,GPT-4o,The correct result is 9,Y,,
Math ,"If you subtract a negative number, why does the result always become smaller?",Fault: The number actually gets larger,GPT-4o,The result does not become smaller. It often becomes larger,Y,,
Math ,Why is 7 - 3 + 2 = 7 - (3 + 2)?,Fault: The order of operations makes it so that these are not equal,GPT-4o,This statement is incorrect because it violates the order of operations,Y,,
Math ,If you multiply 6 by 2 and divide by 3 why do you get 1?,Fault: The answer should actually be 4,GPT-4o,The result is incorrect. Using PEMDAS gives the solution to be 4,Y,,
Math ,Why is the circumference of a circle equal to pi*d^2,Fault: The diameter is pi*d,GPT-4o,This statement is incorrect. The correct formula is pi*d,Y,,
Statistics,Why is the probability of getting heads on a fair coin toss equal to 75%?,Fault: The probability is actually 50%,GPT-4o,For a fair coin the probability is 50%,Y,,
